name,imgUri,price,description
Explorer,http://dummyimage.com/138x100.png/dddddd/000000,1614841,"Unsp mtrcy rider injured in clsn w pedl cyc nontraf, init"
Corolla,http://dummyimage.com/178x100.png/cc0000/ffffff,2298405,"Adult physical abuse, suspected, initial encounter"
Carens,http://dummyimage.com/161x100.png/5fa2dd/ffffff,2042236,"Flexion deformity, right knee"
Accord,http://dummyimage.com/217x100.png/5fa2dd/ffffff,1753245,"Lacerat flexor musc/fasc/tend l rng fngr at wrs/hnd lv, init"
Cooper,http://dummyimage.com/195x100.png/cc0000/ffffff,2658375,"Other superficial bite of unspecified shoulder, sequela"
Rodeo,http://dummyimage.com/145x100.png/dddddd/000000,2469175,"Nondisp fx of lesser tuberosity of unsp humerus, init"
Tiburon,http://dummyimage.com/124x100.png/dddddd/000000,2979614,Other psychoactive substance dependence with intoxication
LeMans,http://dummyimage.com/240x100.png/5fa2dd/ffffff,1934693,"Occup of 3-whl mv inj in clsn w nonmtr vehicle in traf, subs"
Savana 3500,http://dummyimage.com/182x100.png/5fa2dd/ffffff,2235914,"Oth fx upper end of r ulna, subs for clos fx w delay heal"
Grand Prix,http://dummyimage.com/115x100.png/dddddd/000000,2528144,Problems related to living in residential institution
Spyder,http://dummyimage.com/213x100.png/5fa2dd/ffffff,2083599,"Terorsm w nuclear weapons, publ sfty offcl injured, sequela"
Grand Marquis,http://dummyimage.com/103x100.png/dddddd/000000,2111971,"Burn due to localized fire on board passenger vessel, init"
Ram Wagon B150,http://dummyimage.com/220x100.png/dddddd/000000,1140639,Open bite of r bk wl of thorax w penet thoracic cavity
Econoline E350,http://dummyimage.com/115x100.png/5fa2dd/ffffff,2097339,Intraoperative complications of endocrine system
626,http://dummyimage.com/245x100.png/dddddd/000000,1775415,"Driver of hv veh injured in collision w oth mv nontraf, subs"
S40,http://dummyimage.com/129x100.png/ff4444/ffffff,2050049,"Unstbl burst fx first thor vert, subs for fx w delay heal"
Diablo,http://dummyimage.com/129x100.png/cc0000/ffffff,2960508,Corrosion of first degree of left upper arm
Grand Marquis,http://dummyimage.com/155x100.png/dddddd/000000,2149020,Retracted nipple associated with lactation
TSX,http://dummyimage.com/104x100.png/dddddd/000000,2939083,Giant cell arteritis with polymyalgia rheumatica
Tundra,http://dummyimage.com/125x100.png/cc0000/ffffff,2746933,"Disp fx of medial condyle of right femur, init for clos fx"
Tacoma,http://dummyimage.com/153x100.png/5fa2dd/ffffff,1343068,"Nondisp fx of med condyle of l humer, subs for fx w malunion"
Range Rover Sport,http://dummyimage.com/118x100.png/5fa2dd/ffffff,1041013,"Toxic effect of contact w sea anemone, undetermined, init"
Amigo,http://dummyimage.com/249x100.png/ff4444/ffffff,2735655,"Complete traum amp of unsp shldr/up arm, level unsp, sequela"
Bonneville,http://dummyimage.com/113x100.png/dddddd/000000,1034226,"Disp fx of prox phalanx of r great toe, 7thD"
Fleetwood,http://dummyimage.com/186x100.png/dddddd/000000,2866939,"Other infective bursitis, left ankle and foot"
Civic GX,http://dummyimage.com/246x100.png/ff4444/ffffff,2077064,"Chronic hepatitis, unspecified"
Bonneville,http://dummyimage.com/179x100.png/cc0000/ffffff,2891021,"Collapsed vert, NEC, lumbosacr rgn, subs for fx w delay heal"
Bronco,http://dummyimage.com/144x100.png/dddddd/000000,2481731,"Burn of unsp degree of left toe(s) (nail), init encntr"
M3,http://dummyimage.com/185x100.png/ff4444/ffffff,2595905,"Disp fx of med condyle of unsp femr, 7thC"
F250,http://dummyimage.com/194x100.png/5fa2dd/ffffff,2317153,Strain of extensor musc/fasc/tend r idx fngr at forarm lv
Rondo,http://dummyimage.com/116x100.png/5fa2dd/ffffff,2163263,"Ant disp fx of sternal end of l clavicle, init for opn fx"
Camaro,http://dummyimage.com/237x100.png/dddddd/000000,1627422,ABO incompatibility w acute hemolytic transfusion reaction
300SD,http://dummyimage.com/250x100.png/dddddd/000000,1158906,"Matern care for disproprtn d/t outlet contrctn of pelv, fts2"
Q5,http://dummyimage.com/159x100.png/ff4444/ffffff,2992772,"Traum rupt of volar plate of l idx fngr at MCP/IP jt, subs"
LTD Crown Victoria,http://dummyimage.com/232x100.png/dddddd/000000,2861781,Birth injury to scalp
Camry,http://dummyimage.com/198x100.png/dddddd/000000,2795447,Double pterygium of eye
Ram Van B250,http://dummyimage.com/210x100.png/dddddd/000000,1763089,"Corrosion of left eye and adnexa, part unspecified, sequela"
Cavalier,http://dummyimage.com/133x100.png/ff4444/ffffff,2332505,Other ossification of muscle
Quest,http://dummyimage.com/173x100.png/cc0000/ffffff,1853178,Pasngr in pk-up/van injured in clsn w nonmtr vehicle nontraf
Elise,http://dummyimage.com/193x100.png/5fa2dd/ffffff,2823695,"Pulsatile tinnitus, bilateral"
Voyager,http://dummyimage.com/148x100.png/5fa2dd/ffffff,2536297,"Immersion foot, left foot, subsequent encounter"
DeVille,http://dummyimage.com/146x100.png/5fa2dd/ffffff,2210638,"Poisoning by smallpox vaccines, intentional self-harm, subs"
Cabriolet,http://dummyimage.com/174x100.png/ff4444/ffffff,1997178,"Fracture of unsp part of left clavicle, init for opn fx"
E-Class,http://dummyimage.com/175x100.png/ff4444/ffffff,2546757,Forced landing of commrcl fix-wing arcrft injuring occupant
Pathfinder,http://dummyimage.com/174x100.png/cc0000/ffffff,1651471,Inhalant depend w inhalnt-induce psych disorder w delusions
V40,http://dummyimage.com/184x100.png/dddddd/000000,2920764,"Chronic angle-closure glaucoma, left eye, moderate stage"
Escape,http://dummyimage.com/121x100.png/dddddd/000000,1089093,"Poisn by analeptics and opioid receptor antag, undet, subs"
Mighty Max,http://dummyimage.com/102x100.png/dddddd/000000,1301254,"Tributary (branch) retinal vein occlusion, left eye, stable"
LeSabre,http://dummyimage.com/183x100.png/ff4444/ffffff,1191762,"Maternal care for transverse and oblique lie, fetus 1"
9000,http://dummyimage.com/193x100.png/dddddd/000000,1657333,Nondisplaced transverse fracture of shaft of unsp fibula
Tribute,http://dummyimage.com/102x100.png/ff4444/ffffff,2555392,"Pedl cyc pasngr injured in clsn w 2/3-whl mv in traf, init"
E350,http://dummyimage.com/147x100.png/5fa2dd/ffffff,2180713,"Sltr-haris Type I physl fx low end r femr, 7thP"
Savana 1500,http://dummyimage.com/149x100.png/ff4444/ffffff,1220631,Malignant neoplasm of upper limb
Ram 3500 Club,http://dummyimage.com/134x100.png/5fa2dd/ffffff,1718316,Scrotal pain
Mazdaspeed 3,http://dummyimage.com/122x100.png/ff4444/ffffff,1504495,"Unsp injury of blood vessels of thorax, left side, sequela"
CLK-Class,http://dummyimage.com/242x100.png/ff4444/ffffff,2020043,"Driver of pk-up/van inj pk-up truck, pk-up/van in traf, sqla"
DBS,http://dummyimage.com/103x100.png/cc0000/ffffff,2706565,Burn involving larynx and trachea with lung
Fusion,http://dummyimage.com/221x100.png/dddddd/000000,2458121,Athscl autologous vein bypass of the extremities w rest pain
Odyssey,http://dummyimage.com/178x100.png/5fa2dd/ffffff,1610919,"Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss"
Riviera,http://dummyimage.com/203x100.png/dddddd/000000,1111109,Candidiasis
A8,http://dummyimage.com/100x100.png/ff4444/ffffff,1555572,"Walked into lamppost, subsequent encounter"
XLR-V,http://dummyimage.com/182x100.png/dddddd/000000,1654780,"Burn of first degree of unspecified foot, subs encntr"
Impala,http://dummyimage.com/204x100.png/cc0000/ffffff,1334316,"Unsp nondisp fx of surg nk of l humer, 7thP"
Electra,http://dummyimage.com/234x100.png/5fa2dd/ffffff,1641779,"Torus fracture of lower end of right femur, init for clos fx"
Boxster,http://dummyimage.com/151x100.png/dddddd/000000,1125154,"Other diseases of mediastinum, not elsewhere classified"
FX,http://dummyimage.com/105x100.png/dddddd/000000,2639059,Rheumatoid lung disease with rheumatoid arthritis of hand
S10 Blazer,http://dummyimage.com/249x100.png/dddddd/000000,1827546,"Nondisp fx of base of nk of r femr, 7thG"
MR2,http://dummyimage.com/115x100.png/cc0000/ffffff,2154339,"Degeneration of iris (pigmentary), left eye"
S6,http://dummyimage.com/124x100.png/dddddd/000000,2919373,"Acute gingivitis, non-plaque induced"
S6,http://dummyimage.com/223x100.png/cc0000/ffffff,2422034,"Underdosing of hydantoin derivatives, initial encounter"
XJ Series,http://dummyimage.com/237x100.png/dddddd/000000,2010628,Intvrt disc stenosis of neural canal of lumbar region
Sunfire,http://dummyimage.com/148x100.png/5fa2dd/ffffff,1254692,"Failed moderate sedation during procedure, subs encntr"
Accent,http://dummyimage.com/152x100.png/5fa2dd/ffffff,1452860,"Strain flexor musc/fasc/tend at forarm lv, unsp arm, sequela"
Viper RT/10,http://dummyimage.com/250x100.png/ff4444/ffffff,2654520,"Unsp fracture of left pubis, init encntr for open fracture"
D150,http://dummyimage.com/199x100.png/dddddd/000000,1869084,Polyorchism
XC90,http://dummyimage.com/190x100.png/dddddd/000000,2347888,"Fourth [trochlear] nerve palsy, unspecified eye"
900,http://dummyimage.com/110x100.png/5fa2dd/ffffff,2783242,"Disp fx of r tibial tuberosity, 7thG"
Grand Prix,http://dummyimage.com/149x100.png/dddddd/000000,1053933,"Oclr lac/rupt w prolaps/loss of intraoc tiss, unsp eye, sqla"
Thunderbird,http://dummyimage.com/227x100.png/dddddd/000000,2053321,"2-part nondisp fx of surg nk of r humer, 7thG"
Cooper Countryman,http://dummyimage.com/206x100.png/dddddd/000000,1867188,"Corrosion of unsp degree of unspecified upper arm, sequela"
Suburban 1500,http://dummyimage.com/122x100.png/cc0000/ffffff,2665337,"Tox eff of corrosv acids and acid-like substnc, asslt, init"
IS-F,http://dummyimage.com/191x100.png/5fa2dd/ffffff,2531296,Other accident on other pedestrian conveyance
Silverado 3500,http://dummyimage.com/116x100.png/dddddd/000000,2448216,"Hit by object due to uncontrolled fire, not in bldg"
Ranger,http://dummyimage.com/108x100.png/dddddd/000000,1801937,"Unsp injury of unsp msl/tnd at ank/ft level, r foot, init"
F250,http://dummyimage.com/108x100.png/dddddd/000000,1739133,"Fall into swimming pool striking wall causing drown, subs"
EXP,http://dummyimage.com/239x100.png/dddddd/000000,1328498,"War op w oth effects of nuclear weapons, civilian, init"
Voyager,http://dummyimage.com/190x100.png/cc0000/ffffff,1300713,Burn of first degree of lip(s)
S80,http://dummyimage.com/245x100.png/5fa2dd/ffffff,2504341,"Macula scars of posterior pole (post-traumatic), unsp eye"
3 Series,http://dummyimage.com/145x100.png/ff4444/ffffff,2200621,"Inj cutan sensory nerve at ank/ft level, right leg, init"
Outback,http://dummyimage.com/169x100.png/ff4444/ffffff,1247603,"Nondisp fx of posterior process of left talus, init"
Bonneville,http://dummyimage.com/239x100.png/cc0000/ffffff,1640136,"Unsp fx second MC bone, left hand, subs for fx w malunion"
Biturbo,http://dummyimage.com/122x100.png/ff4444/ffffff,2193355,Pnctr w/o foreign body of r mid finger w damage to nail
Grand Voyager,http://dummyimage.com/213x100.png/cc0000/ffffff,1036825,"Person outside car inj in clsn w pick-up truck in traf, init"
MX-5,http://dummyimage.com/132x100.png/cc0000/ffffff,2883969,"Nonpurulent mastitis associated w pregnancy, first trimester"
Thunderbird,http://dummyimage.com/195x100.png/dddddd/000000,1986874,"Rheumatoid bursitis, left wrist"
Milan,http://dummyimage.com/144x100.png/cc0000/ffffff,2534174,"Nondisp apophyseal fx r femur, init for opn fx type 3A/B/C"
Venture,http://dummyimage.com/117x100.png/dddddd/000000,1536229,Benign cyst of testis
Pathfinder,http://dummyimage.com/126x100.png/dddddd/000000,1073283,"Contusion of tail of pancreas, initial encounter"
Tahoe,http://dummyimage.com/194x100.png/dddddd/000000,1326457,"Unsp fracture of unsp ilium, subs for fx w nonunion"
5 Series,http://dummyimage.com/232x100.png/dddddd/000000,2445294,Malignant neoplasm of spleen
riolet,http://dummyimage.com/102x100.png/ff4444/ffffff,1297350,Unsp hormones and synthetic substitutes
Countach,http://dummyimage.com/119x100.png/ff4444/ffffff,2738496,Bunion of right foot
Celica,http://dummyimage.com/213x100.png/ff4444/ffffff,2991526,"Contact with sword or dagger, initial encounter"
Mirage,http://dummyimage.com/147x100.png/ff4444/ffffff,2994174,Major osseous defect
M3,http://dummyimage.com/148x100.png/dddddd/000000,2923010,"Corros 2nd deg mul sites of left lower limb, ex ank/ft, sqla"
ES,http://dummyimage.com/116x100.png/dddddd/000000,1550109,"Maternal care for oth isoimmun, third trimester, fetus 1"
Expo,http://dummyimage.com/249x100.png/cc0000/ffffff,2120054,"Laceration of unsp blood vessel at forarm lv, left arm, subs"
Monza,http://dummyimage.com/231x100.png/5fa2dd/ffffff,1810676,"Cont preg aft elctv fetl rdct of 1 fts or more,3rd tri, fts2"
Pajero,http://dummyimage.com/240x100.png/cc0000/ffffff,1375738,Drowning and submersion due to fall off merchant ship
Grand Prix,http://dummyimage.com/164x100.png/dddddd/000000,2250807,Nondisplaced unspecified fracture of left lesser toe(s)
B-Series Plus,http://dummyimage.com/128x100.png/cc0000/ffffff,1053101,"Stress fracture, right fibula, subs for fx w routn heal"
Caprice,http://dummyimage.com/189x100.png/cc0000/ffffff,2784596,"Exudative cyst of pars plana, left eye"
RX Hybrid,http://dummyimage.com/219x100.png/5fa2dd/ffffff,2966999,"Contact with blunt object, undetermined intent, init encntr"
Intrepid,http://dummyimage.com/173x100.png/dddddd/000000,1241762,Displacement of int fix of bones of foot and toes
Tiburon,http://dummyimage.com/250x100.png/ff4444/ffffff,2811279,"Torus fx upper end of l humerus, subs for fx w routn heal"
Town Car,http://dummyimage.com/100x100.png/ff4444/ffffff,1482490,Periorbital cellulitis
Wrangler,http://dummyimage.com/164x100.png/5fa2dd/ffffff,2071737,Other bursitis of hip
Prius,http://dummyimage.com/192x100.png/5fa2dd/ffffff,1138008,Car passenger injured in collision w SUV in traffic accident
Range Rover,http://dummyimage.com/129x100.png/5fa2dd/ffffff,1247632,"Prsn brd/alit mtrcy injured in collision w pedal cycle, init"
SC,http://dummyimage.com/141x100.png/ff4444/ffffff,2138361,"Complication of anesthesia during the puerperium, unsp"
G-Series G30,http://dummyimage.com/159x100.png/5fa2dd/ffffff,1591156,"Parasitic cyst of retina, right eye"
i-Series,http://dummyimage.com/191x100.png/dddddd/000000,1593156,"Poisoning by saline and osmotic laxatives, self-harm, subs"
Matrix,http://dummyimage.com/184x100.png/cc0000/ffffff,1288031,Monocular exotropia with V pattern
Ranger,http://dummyimage.com/123x100.png/cc0000/ffffff,2194274,Squamous cell carcinoma skin/ ear and external auric canal
3000GT,http://dummyimage.com/146x100.png/5fa2dd/ffffff,2725553,"Drown d/t being thrown ovrbrd by motion of pasngr ship, sqla"
Odyssey,http://dummyimage.com/104x100.png/cc0000/ffffff,1794239,"Polyhydramnios, first trimester, fetus 3"
Probe,http://dummyimage.com/229x100.png/ff4444/ffffff,1551593,"Corros unsp deg mult sites of left shldr/up lmb, ex wrs/hnd"
Silverado 2500,http://dummyimage.com/151x100.png/cc0000/ffffff,1411093,"Coma scale, best motor response, none, unspecified time"
Familia,http://dummyimage.com/135x100.png/dddddd/000000,1759722,Submucous leiomyoma of uterus
GTI,http://dummyimage.com/189x100.png/ff4444/ffffff,1689789,"Oclr lac/rupt w prolaps/loss of intraoc tissue, r eye, init"
Escalade EXT,http://dummyimage.com/203x100.png/cc0000/ffffff,2211206,"Labor and delivery comp by cord around neck, w compression"
Grand Prix,http://dummyimage.com/169x100.png/cc0000/ffffff,2531827,"Poisoning by iminostilbenes, accidental (unintentional)"
164,http://dummyimage.com/135x100.png/5fa2dd/ffffff,2656067,"Puncture wound with foreign body, unsp lower leg, sequela"
Sephia,http://dummyimage.com/156x100.png/ff4444/ffffff,1538980,"Nondisp spiral fx shaft of l fibula, 7thR"
Yukon,http://dummyimage.com/195x100.png/ff4444/ffffff,2634145,"Complete loss of teeth, unspecified cause, class IV"
Camry,http://dummyimage.com/160x100.png/cc0000/ffffff,1539978,External constriction of unspecified hand
Prizm,http://dummyimage.com/250x100.png/dddddd/000000,1891188,"Poisoning by barbiturates, assault, initial encounter"
Charger,http://dummyimage.com/210x100.png/5fa2dd/ffffff,1077639,Anterior subluxation of left humerus
RX,http://dummyimage.com/171x100.png/5fa2dd/ffffff,2395431,"Inj unsp musc/fasc/tend at wrs/hnd lv, unsp hand, init"
C-Class,http://dummyimage.com/175x100.png/dddddd/000000,1230361,"Hemarthrosis, right elbow"
Lancer,http://dummyimage.com/245x100.png/5fa2dd/ffffff,2405689,"Breakdown (mechanical) of int fix of bone of r low leg, subs"
Monte Carlo,http://dummyimage.com/106x100.png/cc0000/ffffff,2664934,Disseminated zoster
Sierra 1500,http://dummyimage.com/114x100.png/cc0000/ffffff,1690005,"Inj extensor musc/fasc/tend r rng fngr at forarm lv, init"
Santa Fe,http://dummyimage.com/114x100.png/dddddd/000000,1597443,Personal history of psychological abuse in childhood
Vandura G2500,http://dummyimage.com/245x100.png/5fa2dd/ffffff,1618274,"Lacerat unsp blood vessel at wrs/hnd lv of left arm, sequela"
Storm,http://dummyimage.com/123x100.png/ff4444/ffffff,1433249,Oth rheumatoid arthritis w rheumatoid factor of right ank/ft
SJ 410,http://dummyimage.com/115x100.png/cc0000/ffffff,2413554,Other foreign object in larynx causing asphyxiation
Chariot,http://dummyimage.com/212x100.png/dddddd/000000,2968683,"Nondisp fx of dist phalanx of unsp less toe(s), 7thD"
Silhouette,http://dummyimage.com/163x100.png/cc0000/ffffff,2520261,Other specified congenital malformations of face and neck
DB9,http://dummyimage.com/155x100.png/cc0000/ffffff,1955088,"Laceration of left quadriceps musc/fasc/tend, init"
S60,http://dummyimage.com/171x100.png/5fa2dd/ffffff,1326464,"Chronic myeloid leukemia, BCR/ABL-positive, in relapse"
Tucson,http://dummyimage.com/130x100.png/dddddd/000000,1735960,"Lac w fb of l frnt wl of thorax w/o penet thor cavity, sqla"
Sierra 3500,http://dummyimage.com/110x100.png/ff4444/ffffff,1366089,"Disp fx of body of unsp talus, subs for fx w nonunion"
Riviera,http://dummyimage.com/212x100.png/dddddd/000000,2057881,Car passenger injured in collision w 2/3-whl mv in traf
Spectra,http://dummyimage.com/128x100.png/5fa2dd/ffffff,1967744,"Toxic effect of venom of black widow spider, accidental"
3500,http://dummyimage.com/116x100.png/cc0000/ffffff,2847735,"Poisoning by insulin and oral hypoglycemic drugs, acc, subs"
GTO,http://dummyimage.com/163x100.png/ff4444/ffffff,2396684,Estrogen receptor positive status [ER+]
ES,http://dummyimage.com/229x100.png/dddddd/000000,1836759,Dissection of vertebral artery
Durango,http://dummyimage.com/165x100.png/5fa2dd/ffffff,2343868,Contact w powered garden and outdoor hand tools and mach
Eos,http://dummyimage.com/221x100.png/dddddd/000000,1866501,Unsp open wound of right lesser toe(s) w/o damage to nail
Datsun/Nissan Z-car,http://dummyimage.com/219x100.png/ff4444/ffffff,2973714,Occup of bus injured in collision w 2/3-whl mv in traf
Swift,http://dummyimage.com/100x100.png/5fa2dd/ffffff,1988631,"Strain of muscle, fascia and tendon of right hip, subs"
Challenger,http://dummyimage.com/223x100.png/5fa2dd/ffffff,1326402,"Laceration w/o foreign body of right forearm, init encntr"
Century,http://dummyimage.com/205x100.png/ff4444/ffffff,1028325,"Underdosing of local astringents and local detergents, init"
Outback,http://dummyimage.com/233x100.png/5fa2dd/ffffff,1409862,"Displ transverse fx shaft of r ulna, 7thR"
Charger,http://dummyimage.com/226x100.png/cc0000/ffffff,2851576,"Corros second degree of unsp mult fngr, inc thumb, sqla"
Elise,http://dummyimage.com/163x100.png/5fa2dd/ffffff,1128920,Pnctr w fb of r frnt wl of thorax w/o penet thoracic cavity
9-5,http://dummyimage.com/108x100.png/dddddd/000000,2261680,Drug-induced polyneuropathy
Pacifica,http://dummyimage.com/158x100.png/cc0000/ffffff,2073260,Tuberculosis complicating the puerperium
Viper,http://dummyimage.com/195x100.png/cc0000/ffffff,1080465,Influenza due to oth ident influenza virus w GI manifest
Prowler,http://dummyimage.com/167x100.png/dddddd/000000,2680028,Aphasia following other cerebrovascular disease
944,http://dummyimage.com/184x100.png/ff4444/ffffff,2237145,Carotid artery syndrome (hemispheric)
Q7,http://dummyimage.com/241x100.png/ff4444/ffffff,2258588,"Oth foreign object in resp tract, part unsp in cause asphyx"
CTS,http://dummyimage.com/155x100.png/dddddd/000000,1352098,Patient's noncompliance w oth medical treatment and regimen
ZDX,http://dummyimage.com/150x100.png/5fa2dd/ffffff,2687099,"Sltr-haris Type III physl fx upper end humer, unsp arm, 7thP"
Firebird,http://dummyimage.com/222x100.png/5fa2dd/ffffff,2212566,Torus fracture of lower end of humerus
Tracer,http://dummyimage.com/102x100.png/cc0000/ffffff,2071192,"Prsn outsd pk-up/van inj in clsn w 2/3-whl mv in traf, sqla"
Esperante,http://dummyimage.com/132x100.png/dddddd/000000,1000883,"Oth tear of medial meniscus, current injury, unsp knee, subs"
Town & Country,http://dummyimage.com/174x100.png/ff4444/ffffff,2177945,Displaced other fracture of tuberosity of left calcaneus
944,http://dummyimage.com/106x100.png/ff4444/ffffff,2144921,"Filariasis, unspecified"
VUE,http://dummyimage.com/177x100.png/cc0000/ffffff,1530850,"Intermittent hydrarthrosis, multiple sites"
Santa Fe,http://dummyimage.com/169x100.png/dddddd/000000,2582039,"Other specified sprain of unspecified wrist, init encntr"
Sportage,http://dummyimage.com/111x100.png/dddddd/000000,2687919,"Blister (nonthermal) of right elbow, sequela"
Pajero,http://dummyimage.com/104x100.png/5fa2dd/ffffff,1485062,"Assault by other bodily force, sequela"
Express 2500,http://dummyimage.com/147x100.png/ff4444/ffffff,2403484,Open bite of larynx
Swift,http://dummyimage.com/233x100.png/ff4444/ffffff,1132227,Pulmonary paracoccidioidomycosis
Town Car,http://dummyimage.com/235x100.png/cc0000/ffffff,1854552,"Poisoning by oth agents aff GI sys, assault, init"
MX-6,http://dummyimage.com/209x100.png/ff4444/ffffff,1461984,Unspecified acquired deformity of unspecified limb
Sienna,http://dummyimage.com/153x100.png/dddddd/000000,1093901,"Displ osteochon fx l patella, 7thH"
Caprice Classic,http://dummyimage.com/136x100.png/ff4444/ffffff,2308668,Subluxation and dislocation of other carpometacarpal joint
Truck,http://dummyimage.com/112x100.png/dddddd/000000,1222737,Other sleep disorders
F-Series Super Duty,http://dummyimage.com/160x100.png/cc0000/ffffff,1087678,"Terorsm w oth explosn and fragmt, publ sfty offcl inj, init"
S6,http://dummyimage.com/205x100.png/cc0000/ffffff,1521445,"Nondisp fx of second metatarsal bone, unsp foot, sequela"
RX-7,http://dummyimage.com/168x100.png/dddddd/000000,2670707,"Maternal care for anti-D antibodies, unsp trimester, fetus 4"
Grand Caravan,http://dummyimage.com/226x100.png/cc0000/ffffff,2657366,"Burn of unspecified degree of left foot, subs encntr"
Corolla,http://dummyimage.com/231x100.png/dddddd/000000,2581887,"Major laceration of unsp innominate or subclav art, init"
LS,http://dummyimage.com/146x100.png/cc0000/ffffff,2534754,"Congenital malformation of kidney, unspecified"
Aviator,http://dummyimage.com/225x100.png/cc0000/ffffff,2661278,"Mechanical loosening of oth internal prosthetic joint, subs"
LSS,http://dummyimage.com/167x100.png/dddddd/000000,2513503,"Nondisplaced trimalleolar fracture of r low leg, sequela"
Escalade,http://dummyimage.com/221x100.png/dddddd/000000,2059574,Fracture of distal pole of navicular bone of wrist
X6,http://dummyimage.com/115x100.png/dddddd/000000,2907311,"Sltr-haris Type III physl fx low end humer, right arm, 7thP"
C70,http://dummyimage.com/106x100.png/cc0000/ffffff,1956077,"Burn of third degree of forehead and cheek, init encntr"
Savana,http://dummyimage.com/144x100.png/ff4444/ffffff,1547097,Disp fx of greater tuberosity of unspecified humerus
Sierra 2500,http://dummyimage.com/226x100.png/dddddd/000000,2421209,Newborn affected by other intrauterine (fetal) blood loss
HHR,http://dummyimage.com/171x100.png/cc0000/ffffff,1660663,Isolated proteinuria with dense deposit disease
1 Series,http://dummyimage.com/168x100.png/cc0000/ffffff,1155099,"Nondisp fx of base of neck of unspecified femur, sequela"
Express 1500,http://dummyimage.com/241x100.png/dddddd/000000,1852282,"Lacerat flexor musc/fasc/tend l rng fngr at forarm lv, init"
Brooklands,http://dummyimage.com/110x100.png/5fa2dd/ffffff,1493075,"Greenstick fx shaft of left ulna, subs for fx w routn heal"
Mirage,http://dummyimage.com/206x100.png/cc0000/ffffff,2297203,"Toxic effect of carb monx from utility gas, undet, subs"
Freestar,http://dummyimage.com/148x100.png/ff4444/ffffff,2806425,Unsp intracranial injury w LOC of unsp duration
Bronco II,http://dummyimage.com/151x100.png/ff4444/ffffff,1143756,"Puncture wound w/o foreign body, right lower leg, subs"
Thunderbird,http://dummyimage.com/177x100.png/cc0000/ffffff,2903508,"Inj unsp musc/fasc/tend at forearm level, unsp arm, sequela"
Taurus,http://dummyimage.com/149x100.png/ff4444/ffffff,2463516,"Pathological fracture, left toe(s), subs for fx w malunion"
Fusion,http://dummyimage.com/161x100.png/5fa2dd/ffffff,2166616,Other abnormal tumor markers
Cayenne,http://dummyimage.com/222x100.png/ff4444/ffffff,2137222,"Oth disrd of amniotic fluid and membrns, first tri, fetus 5"
V70,http://dummyimage.com/216x100.png/ff4444/ffffff,2592276,"Inj extensor musc/fasc/tend r mid finger at wrs/hnd lv, init"
Dakota,http://dummyimage.com/217x100.png/ff4444/ffffff,1458478,Contact with kitchen utensil
Impreza,http://dummyimage.com/219x100.png/5fa2dd/ffffff,1322295,"Passenger of sp off-rd mv injured in traffic accident, init"
Vantage,http://dummyimage.com/195x100.png/5fa2dd/ffffff,1227012,"Corrosion of first degree of unspecified elbow, init encntr"
Continental,http://dummyimage.com/236x100.png/cc0000/ffffff,1360975,"Nondisplaced transcondylar fracture of left humerus, sequela"
LeSabre,http://dummyimage.com/183x100.png/dddddd/000000,2870804,Herpesviral cervicitis
Mini Cooper S,http://dummyimage.com/111x100.png/ff4444/ffffff,2771323,Burn of third degree of right knee
GTO,http://dummyimage.com/106x100.png/ff4444/ffffff,2885944,Other specified problems related to upbringing
Fury,http://dummyimage.com/236x100.png/ff4444/ffffff,1644032,Displaced fracture of medial condyle of right femur
Windstar,http://dummyimage.com/151x100.png/dddddd/000000,1685628,Burn of unspecified degree of left ear
Golf,http://dummyimage.com/108x100.png/5fa2dd/ffffff,2131019,"Oth nondisp fx of seventh cervical vertebra, init"
Sierra 3500,http://dummyimage.com/176x100.png/ff4444/ffffff,2365771,"Sltr-haris Type II physl fx upper end radius, left arm, sqla"
i-MiEV,http://dummyimage.com/128x100.png/dddddd/000000,1171356,Infect/inflm reaction due to int fix of right femur
E-Class,http://dummyimage.com/228x100.png/cc0000/ffffff,2936829,"Corros second deg of unsp single finger except thumb, sqla"
S-Type,http://dummyimage.com/120x100.png/ff4444/ffffff,1186884,Unspecified injury of dorsal artery of foot
Challenger,http://dummyimage.com/194x100.png/cc0000/ffffff,1304389,"Blister (nonthermal) of left thumb, initial encounter"
i-290,http://dummyimage.com/222x100.png/ff4444/ffffff,1467374,"Idiopathic chronic gout, left wrist, without tophus (tophi)"
Tiburon,http://dummyimage.com/232x100.png/ff4444/ffffff,1977610,"Sltr-haris Type II physeal fx lower end of humer, right arm"
Hearse,http://dummyimage.com/129x100.png/cc0000/ffffff,2294882,"Epidural hemorrhage w/o loss of consciousness, subs encntr"
Express 1500,http://dummyimage.com/146x100.png/ff4444/ffffff,2522349,"Nondisp commnt suprcndl fx w/o intrcndl fx l humer, 7thK"
H1,http://dummyimage.com/192x100.png/dddddd/000000,1623914,"Poisoning by skeletal muscle relaxants, assault, subs encntr"
Explorer Sport,http://dummyimage.com/224x100.png/5fa2dd/ffffff,1700534,"Oth fx upr & low end unsp fibula, 7thK"
Express 2500,http://dummyimage.com/104x100.png/cc0000/ffffff,2033784,"Hallucinogen abuse with intoxication, unspecified"
